NUTS2:;Administrative Division ;Administrative Division [ENG];Country;Class;Inwoners;Pop density;Cases 1st April;Cases 30th April;New cases;Cases per 100.000 inh 1st April;Cases per 100.000  inh 30th April;Rise per capita in April;Deaths 1st April;Deaths 30th April;Tot. Death count in April;Deaths per 100.000 inh 1st April;Deaths per 100.000 inh 30th April;Rise per capita in April;Deaths/cases 1st April*;Deaths/cases 30th April*;Difference
NO074;Tromsø og Finmark;Tromsø og Finmark;Norway;4;243925;;164;240;76;67,2;98,4;31,2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
NO0A3;Trøndelag;Trøndelag;Norway;4;458744;12;340;477;137;74,1;104,0;29,9;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
IE041;Ulster;Ulster;Ireland;4;296754;35;132;1.483;1.351;44,5;499,7;455,3;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
NO091;Vestfold og Telemark;Vestfold og Telemark;Norway;4;415777;12;190;272;82;45,7;65,4;19,7;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
NO0A2;Vestland;Vestland;Norway;4;631594;19;510;856;346;80,7;135,5;54,8;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
NO082;Viken;Viken;Norway;4;1234374;;1.306;2.071;765;105,8;167,8;62,0;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
BE24;Vlaams-Brabant;Flemish Brabant;Belgium;4;1146175;541;1.509;4.634;3.125;131,7;404,3;272,6;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
BE25;West-Vlaanderen;West Flanders;Belgium;4;1195796;379;1.580;5.160;3.580;132,1;431,5;299,4;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
FRM;Corse;Corsica;France;1;334938;39;250;295;45;74,6;88,1;13,4;0;50;50;0,0;14,9;14,9;0,0;16,9;16,9
SE321;Västernnorrland;Västernnorrland;Sweden;1;245347;;55;235;180;22,4;95,8;73,4;1;38;37;0,4;15,5;15,1;1,8;16,2;14,4
FRD;Normandie;Normandy;France;1;3330478;151;688;2.001;1.313;20,7;60,1;39,4;28;346;318;0,8;10,4;9,5;4,1;17,3;13,2
FR1;île-de-France;île-de-France;France;1;12174880;1.023;12.108;34.479;22.371;99,5;283,2;183,7;578;6.008;5.430;4,7;49,3;44,6;4,8;17,4;12,7
UKI;London;London;United Kingdom;1;8908081;;10.945;24.297;13.352;122,9;272,8;149,9;945;4.976;4.031;10,6;55,9;45,3;8,6;20,5;11,8
SE332;Norrbotten;Norrbotten;Sweden;1;250039;;59;252;193;23,6;100,8;77,2;1;33;32;0,4;13,2;12,8;1,7;13,1;11,4
UKH;East of England;East of England;United Kingdom;1;6201214;;2.916;10.274;7.358;47,0;165,7;118,7;329;2.311;1.982;5,3;37,3;32,0;11,3;22,5;11,2
FRB;Centre-Val de Loire;Centre-Val de Loire;France;1;2576252;66;645;2.562;1.917;25,0;99,4;74,4;26;388;362;1,0;15,1;14,1;4,0;15,1;11,1
SE11;Stockholm;Stockholm;Sweden;1;2377081;357;2.121;8.033;5.912;89,2;337,9;248,7;148;1.406;1.258;6,2;59,1;52,9;7,0;17,5;10,5
UKM;Scotland;Scotland;United Kingdom;1;5424800;;2.300;11.353;9.053;42,4;209,3;166,9;60;1.475;1.415;1,1;27,2;26,1;2,6;13,0;10,4
UKF + UKG;Midlands;Midlands;United Kingdom;1;10704906;;6.508;19.615;13.107;60,8;183,2;122,4;701;3.967;3.266;6,5;37,1;30,5;10,8;20,2;9,5
FRH;Bretagne;Brittany;France;1;3318904;83;603;1.426;823;18,2;43,0;24,8;34;212;178;1,0;6,4;5,4;5,6;14,9;9,2
SE125;Västmanland;Västmanland;Sweden;1;275845;;83;766;683;30,1;277,7;247,6;2;89;87;0,7;32,3;31,5;2,4;11,6;9,2
FRL;Provinces-Alpes-Côte d'Azur;Provinces-Alpes-Côte d'Azur;France;1;5030890;162;1.927;6.014;4.087;38,3;119,5;81,2;48;696;648;1,0;13,8;12,9;2,5;11,6;9,1
FRI;Nouvelle-Aquitaine;Nouvelle-Aquitaine;France;1;5956978;83;912;2.385;1.473;15,3;40,0;24,7;42;324;282;0,7;5,4;4,7;4,6;13,6;9,0
FRJ;Occitanie;Occitanie;France;1;5845102;43;1.082;3.179;2.097;18,5;54,4;35,9;41;401;360;0,7;6,9;6,2;3,8;12,6;8,8
BE1;Région de Bruxelles*;Brussels;Belgium;1;1208542;7.471;1.580;4.975;3.395;130,7;411,7;280,9;250;1.197;947;20,7;99,0;78,4;15,8;24,1;8,2
ES24;Aragón;Aragón;Spain;1;1319291;28;2.491;5.091;2.600;188,8;385,9;197,1;169;739;570;12,8;56,0;43,2;6,8;14,5;7,7
SE212;Kronoberg;Kronoberg;Sweden;1;201469;;39;306;267;19,4;151,9;132,5;0;23;23;0,0;11,4;11,4;0,0;7,5;7,5
FRF;Grand Est;Grand Est;France;1;5549586;52;5.479;14.834;9.355;98,7;267,3;168,6;657;2.885;2.228;11,8;52,0;40,1;12,0;19,4;7,5
ES12;Asturias;Asturias;Spain;1;1022800;97;1.322;2.283;961;129,3;223,2;94,0;63;273;210;6,2;26,7;20,5;4,8;12,0;7,2
FRK;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;France;1;7948287;100;2.093;8.862;6.769;26,3;111,5;85,2;165;1.331;1.166;2,1;16,7;14,7;7,9;15,0;7,1
SE232;Västra Götaland;Västra Götaland;Sweden;1;1725881;;426;2.459;2.033;24,7;142,5;117,8;6;209;203;0,3;12,1;11,8;1,4;8,5;7,1
ES43;Extemadura;Extemadura;Spain;1;1067710;26;1.679;2.785;1.106;157,3;260,8;103,6;152;446;294;14,2;41,8;27,5;9,1;16,0;7,0
