NUTS2:;Administrative Division ;Administrative Division [ENG];Country;Class;Inwoners;Pop density;Cases 1st April;Cases 30th April;New cases;Cases per 100.000 inh 1st April;Cases per 100.000  inh 30th April;Rise per capita in April;Deaths 1st April;Deaths 30th April;Tot. Death count in April;Deaths per 100.000 inh 1st April;Deaths per 100.000 inh 30th April;Rise per capita in April;Deaths/cases 1st April*;Deaths/cases 30th April*;Difference
CH021;Bern;Bern;Switzerland;1;1034977;;909;1.744;835;87,8;168,5;80,7;20;75;55;1,9;7,2;5,3;2,2;4,3;2,1
CH057;Thurgau;Thurgau;Switzerland;1;276472;;154;341;187;55,7;123,3;67,6;4;16;12;1,4;5,8;4,3;2,6;4,7;2,1
ITF6;Calabria;Calabria;Italy;1;1947131;129;669;1.108;439;34,4;56,9;22,5;38;86;48;2,0;4,4;2,5;5,7;7,8;2,1
CZ051;Liberecký;Liberec;Czechia;1;442356;140;117;193;76;26,4;43,6;17,2;0;4;4;0,0;0,9;0,9;0,0;2,1;2,1
NO0;Norge**;Norway;Norway;3;5292817;;4.935;7.710;2.775;93,2;145,7;52,4;28;202;174;0,5;3,8;3,3;0,6;2,6;2,1
AD00;Andorra;Andorra;Andorra;5;77006;;390;745;355;506,5;967,5;461,0;14;42;28;18,2;54,5;36,4;3,6;5,6;2,0
CH031;Basel-Stadt;Basel-Stadt;Switzerland;1;200298;;691;1.097;406;345,0;547,7;202,7;18;51;33;9,0;25,5;16,5;2,6;4,6;2,0
ITC3;Liguria;Liguria;Italy;1;1550640;287;3.660;7.993;4.333;236,0;515,5;279,4;460;1.167;707;29,7;75,3;45,6;12,6;14,6;2,0
CH025;Jura;Jura;Switzerland;1;73419;;145;200;55;197,5;272,4;74,9;0;4;4;0,0;5,4;5,4;0,0;2,0;2,0
CH013;Geneve;Geneve;Switzerland;1;499480;;2.657;5.065;2.408;532,0;1.014,1;482,1;72;237;165;14,4;47,4;33,0;2,7;4,7;2,0
NL22;Gelderland;Gelderland;Netherlands;1;2086142;413;1.615;5.056;3.441;77,4;242,4;164,9;149;566;417;7,1;27,1;20,0;9,2;11,2;2,0
DEB;Rheinland-Pfalz;Rhineland;Germany;1;4084844;;2.899;6.048;3.149;71,0;148,1;77,1;23;167;144;0,6;4,1;3,5;0,8;2,8;2,0
DE3;Berlin;Berlin;Germany;1;3644826;;2.754;5.827;3.073;75,6;159,9;84,3;16;147;131;0,4;4,0;3,6;0,6;2,5;1,9
DE5;Bremen;Bremen;Germany;1;682986;1.744;311;859;548;45,5;125,8;80,2;5;30;25;0,7;4,4;3,7;1,6;3,5;1,9
LT0;Lietuva;Lithauania;Lithauania;5;2794329;43;581;1.381;800;20,8;49,4;28,6;8;45;37;0,3;1,6;1,3;1,4;3,3;1,9
ES41;Castille y Leon;Castille y Leon;Spain;1;2399548;26;6.847;16.885;10.038;285,3;703,7;418,3;585;1.752;1.167;24,4;73,0;48,6;8,5;10,4;1,8
AT12;Nieder-östenreich;Lower Austria;Austria;1;1677542;89;1.637;2.619;982;97,6;156,1;58,5;28;92;64;1,7;5,5;3,8;1,7;3,5;1,8
PT11;Norte;Northern  Portugal;Portugal;1;3572583;169;4.910;15.090;10.180;137,4;422,4;284,9;95;556;461;2,7;15,6;12,9;1,9;3,7;1,7
LV0;Latvija;Latvia;Latvia;5;1919968;34;446;858;412;23,2;44,7;21,5;0;15;15;0,0;0,8;0,8;0,0;1,7;1,7
CZ080;Moravskoslezský ;Moravian-Silesian;Czechia;1;1203299;221;319;1.038;719;26,5;86,3;59,8;4;31;27;0,3;2,6;2,2;1,3;3,0;1,7
DE8;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Germany;1;1609675;71;406;691;285;25,2;42,9;17,7;3;17;14;0,2;1,1;0,9;0,7;2,5;1,7
AT31;Ober-östenreich;Upper Austria;Austria;1;1482095;126;1.642;2.254;612;110,8;152,1;41,3;12;55;43;0,8;3,7;2,9;0,7;2,4;1,7
AT32;Salzburg;Salzburg;Austria;1;555221;79;949;1.232;283;170,9;221,9;51,0;11;35;24;2,0;6,3;4,3;1,2;2,8;1,7
SE211;Jönköping;Jönköping;Sweden;1;336866;;142;772;630;42,2;229,2;187,0;10;67;57;3,0;19,9;16,9;7,0;8,7;1,6
DK0;Danmark**;Denmark;Denmark;3;5820428;;3.082;9.112;6.030;53,0;156,6;103,6;104;452;348;1,8;7,8;6,0;3,4;5,0;1,6
CZ020;Středočeský;Central Bohemian;Czechia;1;1369332;124;447;901;454;32,6;65,8;33,2;4;22;18;0,3;1,6;1,3;0,9;2,4;1,5
PT17;Lisboa;Lisbon;Portugal;1;2846332;1.011;1.998;5.815;3.817;70,2;204,3;134,1;38;199;161;1,3;7,0;5,7;1,9;3,4;1,5
ITI4;Lazio;Lazio;Italy;1;5879082;347;3.264;6.616;3.352;55,5;112,5;57,0;169;441;272;2,9;7,5;4,6;5,2;6,7;1,5
ITF3;Campania;Campania;Italy;1;5801692;426;2.231;4.423;2.192;38,5;76,2;37,8;148;359;211;2,6;6,2;3,6;6,6;8,1;1,5
CZ032;Plzeňský;Plzeň;Czechia;1;584672;77;161;607;446;27,5;103,8;76,3;0;9;9;0,0;1,5;1,5;0,0;1,5;1,5
AT11;Burgen-land;Burgen-land;Austria;1;293433;78;185;325;140;63,0;110,8;47,7;3;10;7;1,0;3,4;2,4;1,6;3,1;1,5
ITI2;Umbria;Umbria;Italy;1;882015;106;1.095;1.392;297;124,1;157,8;33,7;37;67;30;4,2;7,6;3,4;3,4;4,8;1,4
AT34;Vorarlberg;Vorarlberg;Austria;1;397094;155;659;871;212;166,0;219,3;53,4;3;16;13;0,8;4,0;3,3;0,5;1,8;1,4
CH032;Basel-Landschaft;Basel-Landschaft;Switzerland;1;289527;;588;864;276;203,1;298,4;95,3;11;28;17;3,8;9,7;5,9;1,9;3,2;1,4
LU0;Luxemburg;Luxemburg;Luxemburg;5;626108;235;2.178;3.784;1.606;347,9;604,4;256,5;23;90;67;3,7;14,4;10,7;1,1;2,4;1,3
CH040;Zürich;Zürich;Switzerland;1;1520968;;2.148;3.397;1.249;141,2;223,3;82,1;29;90;61;1,9;5,9;4,0;1,4;2,6;1,3
CZ052;Královéhradecký ;Hradec Králové;Czechia;1;551021;116;105;178;73;19,1;32,3;13,2;1;4;3;0,2;0,7;0,5;1,0;2,2;1,3
CH070;Ticino;Ticino;Switzerland;1;353343;;2.195;3.177;982;621,2;899,1;277,9;132;232;100;37,4;65,7;28,3;6,0;7,3;1,3
ITC4;Lombardia;Lombardy;Italy;1;10041828;436;44.773;75.732;30.959;445,9;754,2;308,3;7.593;13.772;6.179;75,6;137,1;61,5;17,0;18,2;1,2
LI0;Liechtenstein;Liechtenstein;Liechtenstein;5;38557;242;72;82;10;186,7;212,7;25,9;0;1;1;0,0;2,6;2,6;0,0;1,2;1,2
ITH2;Trentino Alto Adige;Trentino Alto Adige;Italy;1;1072276;88;1.870;6.634;4.764;174,4;618,7;444,3;173;693;520;16,1;64,6;48,5;9,3;10,4;1,2
NL34;Zeeland;Zeeland;Netherlands;1;383519;212;178;580;402;46,4;151,2;104,8;14;52;38;3,7;13,6;9,9;7,9;9,0;1,1
NL21;Overijssel;Overijssel;Netherlands;1;1162500;343;779;2.706;1.927;67,0;232,8;165,8;64;251;187;5,5;21,6;16,1;8,2;9,3;1,1
CZ071;Olomoucký;Olomouc;Czechia;1;632492;120;310;691;381;49,0;109,3;60,2;3;14;11;0,5;2,2;1,7;1,0;2,0;1,1
AT33;Tirol;Tirol;Austria;1;754705;60;2.361;5.202;2.841;312,8;689,3;376,4;24;105;81;3,2;13,9;10,7;1,0;2,0;1,0
ES51;Catalunya;Catalonia;Spain;1;7675217;236;19.991;48.916;28.925;260,5;637,3;376,9;1.849;4.975;3.126;24,1;64,8;40,7;9,2;10,2;0,9
PT16;Centro;Central Portugal;Portugal;1;2216569;68;1.043;3.389;2.346;47,1;152,9;105,8;52;198;146;2,3;8,9;6,6;5,0;5,8;0,9
CZ063;Vysočina;Vysočina;Czechia;1;509274;75;114;174;60;22,4;34,2;11,8;1;3;2;0,2;0,6;0,4;0,9;1,7;0,8
CH061;Luzern;Luzern;Switzerland;1;409557;;375;664;289;91,6;162,1;70,6;7;18;11;1,7;4,4;2,7;1,9;2,7;0,8
CH033;Aargau;Aargau;Switzerland;1;678207;;549;1.101;552;80,9;162,3;81,4;11;31;20;1,6;4,6;2,9;2,0;2,8;0,8
ITF2;Molise;Molise;Italy;1;305617;69;160;298;138;52,4;97,5;45,2;10;21;11;3,3;6,9;3,6;6,3;7,0;0,8
CH012;Valais;Valais;Switzerland;1;343955;;1.085;1.825;740;315,4;530,6;215,1;37;75;38;10,8;21,8;11,0;3,4;4,1;0,7
UKC + UKE;North East and Yorkshire;North East and Yorkshire;United Kingdom;1;8137524;;4.075;17.562;13.487;50,1;215,8;165,7;601;2.696;2.095;7,4;33,1;25,7;14,7;15,4;0,6
CH056;Graubünden;Graubünden;Switzerland;1;198379;;592;784;192;298,4;395,2;96,8;28;41;13;14,1;20,7;6,6;4,7;5,2;0,5
PT18;Alentejo;Alentejo;Portugal;1;705478;23;54;207;153;7,7;29,3;21,7;0;1;1;0,0;0,1;0,1;0,0;0,5;0,5
CZ053;Pardubický;Pardubice;Czechia;1;520316;115;114;270;156;21,9;51,9;30,0;2;6;4;0,4;1,2;0,8;1,8;2,2;0,5
ES30;Madrid;Madrid;Spain;1;6663394;817;29.840;61.171;31.331;447,8;918,0;470,2;3.865;8.176;4.311;58,0;122,7;64,7;13,0;13,4;0,4
IS0;Iceland;Iceland;Iceland ;3;364134;;1.220;1.797;577;335,0;493,5;158,5;2;10;8;0,5;2,7;2,2;0,2;0,6;0,4
CZ072;Zlínský;Zlín;Czechia;1;582921;133;148;328;180;25,4;56,3;30,9;0;1;1;0,0;0,2;0,2;0,0;0,3;0,3
CH052;Schaffhausen;Schaffhausen;Switzerland;1;81991;;42;75;33;51,2;91,5;40,2;1;2;1;1,2;2,4;1,2;2,4;2,7;0,3
CH054;Appenzell Innnerrhoden;Appenzell Innnerrhoden;Switzerland;1;16145;;14;20;6;86,7;123,9;37,2;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0
CH065;Nidwald;Nidwald;Switzerland;1;43223;;70;112;42;162,0;259,1;97,2;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0
CH064;Obwald;Obwald;Switzerland;1;37841;;46;72;26;121,6;190,3;68,7;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0
CH053;Appenzell-Ausserrhoden;Appenzell-Ausserrhoden;Switzerland;1;55234;;58;88;30;105,0;159,3;54,3;2;3;1;3,6;5,4;1,8;3,4;3,4;-0,0
CH024;Neuenburg;Neuenburg;Switzerland;1;176850;;420;644;224;237,5;364,2;126,7;25;34;9;14,1;19,2;5,1;6,0;5,3;-0,7
SE221;Blekinge;Blekinge;Sweden;1;159606;;22;73;51;13,8;45,7;32,0;1;2;1;0,6;1,3;0,6;4,5;2,7;-1,8
SM00;San Marino;San Marino;San Marino;5;33314;;236;569;333;708,4;1.708,0;999,6;28;41;13;84,0;123,1;39,0;11,9;7,2;-4,7
UKN;Northern Ireland;Northern Ireland;United Kingdom;1;1897893;139;103;3.536;3.433;5,4;186,3;180,9;30;347;317;1,6;18,3;16,7;29,1;9,8;-19,3
;;;;;;71;190;569,5;277,5;36,9;101,8;50,1;4;26;17;0,528302738478491;4,41675470217464;3,59799114036113;1,13333981640333;3,49243306169965;1,67047141376237
;;;;;;;822,5;1.825;965;71,0;174,9;94,6;24;106;93,5;1,78323485949061;10,3776833149377;8,20220083294161;3,13934300512233;6,50969529085873;2,66583675985848
;;;;;;;2.206,45714285714;5.393,24761904762;3.186,79047619048;111,4;252,9;141,5;183,638888888889;640,843243243243;472,494444444444;6,36383689403157;21,6345191178066;15,6835524371924;4,38741084345094;7,76097003428135;3,45996046981548
;;;;;;;2.121;5.572,75;3.439;130,2;320,9;186,9;121,25;451,5;411;6,46783043616979;25,3766123377426;20,5748695378916;6,53423689619733;10,9410218775548;4,52155923206423
;;;;;;;44.773;75.732;31.331;708,4;1.708,0;999,6;7593;13772;6179;84,0487482739989;137,146344271182;83,0847922363683;29,126213592233;24,0603015075377;16,9491525423729
